Grapheme	IPA	Notes
a	a may also represent aː, manual correction necessary
á	a	
à	a	
ā	a	
i	ɪ	
ï	ɪ 	
í	iː	
ì	iː	
ī	iː	
ei	iː	
e	eː	
ē	e	
o	oː	
ō	o	
u	u may also represent uː, manual correction necessary
ū	uː	
ai	ɛː	may also represent ɛ if before r, h or hw, manual correction necessary
aí	ɛː	may also represent ɛ if before r, h or hw, manual correction necessary
aì	ɛː	may also represent ɛ if before r, h or hw, manual correction necessary
ái	ɛː	may also represent ɛ if before r, h or hw, manual correction necessary
au	ɔː	may also represent ɔ if before r, h or hw, manual correction necessary
aú	ɔː	may also represent ɔ if before r, h or hw, manual correction necessary
áu	ɔː	may also represent ɔ if before r, h or hw, manual correction necessary
aū	ɔː	may also represent ɔ if before r, h or hw, manual correction necessary
iu	i u	
w	w	
ww	wː	
j	j	
jj	jː	
y	j	
yy	jː	
l	l	
ll	lː	
r	r	
rr	rː	
m	m	
mm	mː	
n	n	
nn	nː	
p	p	
pp	pː	
f	ɸ	
ff	ɸː	
b	b	
bb	bː	
k	k	
x	χ	
xx	χː	
q	kʷ	
qq	kːʷ	
h	h	
hh	hː	
ƕ	ʍ	
ƕƕ	ʍː	
g	g	
gg	ŋ g	
ggw	gː w	ggw may also represent ŋ w, manual correction necessary
gk	ŋ k	
gq	ŋ kʷ	
t	t	
tt	tː	
þ	θ	
þþ	θː	
d	d	
dd	dː	
s	s	
ss	sː	
z	z	
zz	zː	
^	NULL	
$	NULL	
-	+	
_	 	
wls	w l̥ s	Braune2004 p. 47. (https://github.com/orthograpy/orthograpy-profiles/issues/1) generated with https://digling.org/calc/profiler/ with this rule: [1 w j y l r m n p f b k x q h g t þ d s z][2 l m n r][3 s $] > [1 w j y l r m n p f b k x q h g t þ d s z][2 l̥ m̥ n̥ r̥][3 s $]
wl$	w l̥	
wms	w m̥ s	
wm$	w m̥	
wns	w n̥ s	
wn$	w n̥	
wrs	w r̥ s	
wr$	w r̥	
jls	j l̥ s	
jl$	j l̥	
jms	j m̥ s	
jm$	j m̥	
jns	j n̥ s	
jn$	j n̥	
